phase,query_name,redis_command,calls_delta,usec_delta,avg_usec_per_call,rejected_calls_delta,failed_calls_delta,calls_per_logical_request,usec_per_logical_request
warmup,__warmup_mixed__,select,1,1,1,0,0,0.0050000000000000001,0.0050000000000000001
warmup,__warmup_mixed__,smembers,186,84505,454.3279569892473,0,0,0.93000000000000005,422.52499999999998
warmup,__warmup_mixed__,exists,19,45,2.3684210526315788,0,0,0.095000000000000001,0.22500000000000001
warmup,__warmup_mixed__,sscan,306,3367,11.003267973856209,0,0,1.53,16.835000000000001
warmup,__warmup_mixed__,info,1,57,57,0,0,0.0050000000000000001,0.28499999999999998
warmup,__warmup_mixed__,hgetall,1075210,635348,0.5909059625561518,0,0,5376.0500000000002,3176.7399999999998
warmup,__warmup_mixed__,scan,3636,775361,213.24559955995599,0,0,18.18,3876.8049999999998
benchmark,__benchmark_mixed__,select,1,1,1,0,0,9.0909090909090904E-05,9.0909090909090904E-05
benchmark,__benchmark_mixed__,ping,9,9,1,0,0,0.00081818181818181816,0.00081818181818181816
benchmark,__benchmark_mixed__,smembers,10005,4583602,458.1311344327836,0,0,0.90954545454545455,416.69109090909092
benchmark,__benchmark_mixed__,exists,1000,4355,4.3550000000000004,0,0,0.090909090909090912,0.39590909090909093
benchmark,__benchmark_mixed__,sscan,17000,191068,11.239294117647059,0,0,1.5454545454545454,17.369818181818182
benchmark,__benchmark_mixed__,info,10,272,27.199999999999999,0,0,0.00090909090909090909,0.024727272727272726
benchmark,__benchmark_mixed__,hgetall,59721853,34477701,0.57730460908505299,0,0,5429.2593636363636,3134.3364545454547
benchmark,__benchmark_mixed__,scan,202000,42633713,211.05798514851486,0,0,18.363636363636363,3875.7920909090908
